Term,Date,Value
AI literacy campaigns,1/1/2010,0
AI literacy campaigns,2/1/2010,0
AI literacy campaigns,3/1/2010,0
AI literacy campaigns,4/1/2010,0
AI literacy campaigns,5/1/2010,0
AI literacy campaigns,6/1/2010,0
AI literacy campaigns,7/1/2010,0
AI literacy campaigns,8/1/2010,0
AI literacy campaigns,9/1/2010,0
AI literacy campaigns,10/1/2010,0
AI literacy campaigns,11/1/2010,0
AI literacy campaigns,12/1/2010,0
AI literacy campaigns,1/1/2011,0
AI literacy campaigns,2/1/2011,0
AI literacy campaigns,3/1/2011,0
AI literacy campaigns,4/1/2011,0
AI literacy campaigns,5/1/2011,0
AI literacy campaigns,6/1/2011,0
AI literacy campaigns,7/1/2011,0
AI literacy campaigns,8/1/2011,0
AI literacy campaigns,9/1/2011,0
AI literacy campaigns,10/1/2011,0
AI literacy campaigns,11/1/2011,0
AI literacy campaigns,12/1/2011,0
AI literacy campaigns,1/1/2012,0
AI literacy campaigns,2/1/2012,0
AI literacy campaigns,3/1/2012,0
AI literacy campaigns,4/1/2012,0
AI literacy campaigns,5/1/2012,0
AI literacy campaigns,6/1/2012,0
AI literacy campaigns,7/1/2012,0
AI literacy campaigns,8/1/2012,0
AI literacy campaigns,9/1/2012,0
AI literacy campaigns,10/1/2012,0
AI literacy campaigns,11/1/2012,0
AI literacy campaigns,12/1/2012,0
AI literacy campaigns,1/1/2013,0
AI literacy campaigns,2/1/2013,0
AI literacy campaigns,3/1/2013,0
AI literacy campaigns,4/1/2013,0
AI literacy campaigns,5/1/2013,0
AI literacy campaigns,6/1/2013,0
AI literacy campaigns,7/1/2013,0
AI literacy campaigns,8/1/2013,0
AI literacy campaigns,9/1/2013,0
AI literacy campaigns,10/1/2013,0
AI literacy campaigns,11/1/2013,0
AI literacy campaigns,12/1/2013,0
AI literacy campaigns,1/1/2014,0
AI literacy campaigns,2/1/2014,0
AI literacy campaigns,3/1/2014,0
AI literacy campaigns,4/1/2014,0
AI literacy campaigns,5/1/2014,0
AI literacy campaigns,6/1/2014,0
AI literacy campaigns,7/1/2014,0
AI literacy campaigns,8/1/2014,0
AI literacy campaigns,9/1/2014,0
AI literacy campaigns,10/1/2014,0
AI literacy campaigns,11/1/2014,0
AI literacy campaigns,12/1/2014,0
AI literacy campaigns,1/1/2015,0
AI literacy campaigns,2/1/2015,0
AI literacy campaigns,3/1/2015,0
AI literacy campaigns,4/1/2015,0
AI literacy campaigns,5/1/2015,0
AI literacy campaigns,6/1/2015,0
AI literacy campaigns,7/1/2015,0
AI literacy campaigns,8/1/2015,0
AI literacy campaigns,9/1/2015,0
AI literacy campaigns,10/1/2015,0
AI literacy campaigns,11/1/2015,0
AI literacy campaigns,12/1/2015,0
AI literacy campaigns,1/1/2016,0
AI literacy campaigns,2/1/2016,0
AI literacy campaigns,3/1/2016,0
AI literacy campaigns,4/1/2016,0
AI literacy campaigns,5/1/2016,0
AI literacy campaigns,6/1/2016,0
AI literacy campaigns,7/1/2016,0
AI literacy campaigns,8/1/2016,0
AI literacy campaigns,9/1/2016,0
AI literacy campaigns,10/1/2016,0
AI literacy campaigns,11/1/2016,0
AI literacy campaigns,12/1/2016,0
AI literacy campaigns,1/1/2017,0
AI literacy campaigns,2/1/2017,0
AI literacy campaigns,3/1/2017,0
AI literacy campaigns,4/1/2017,0
AI literacy campaigns,5/1/2017,0
AI literacy campaigns,6/1/2017,0
AI literacy campaigns,7/1/2017,0
AI literacy campaigns,8/1/2017,0
AI literacy campaigns,9/1/2017,0
